drive,config,rw,bw_mbps
hdd,01-ext4,rnd-4k-q32-t16-read,1.89
hdd,01-ext4,rnd-4k-q32-t16-write,1.34
hdd,01-ext4,seq-1m-q8-t1-read,200.69
hdd,01-ext4,seq-1m-q8-t1-write,204.51
hdd,02-ext4+integrity,rnd-4k-q32-t16-read,1.72
hdd,02-ext4+integrity,rnd-4k-q32-t16-write,0.8
hdd,02-ext4+integrity,seq-1m-q8-t1-read,198.73
hdd,02-ext4+integrity,seq-1m-q8-t1-write,59.99
hdd,03-ext4+integrity[no-journal],rnd-4k-q32-t16-read,1.75
hdd,03-ext4+integrity[no-journal],rnd-4k-q32-t16-write,0.69
hdd,03-ext4+integrity[no-journal],seq-1m-q8-t1-read,202.45
hdd,03-ext4+integrity[no-journal],seq-1m-q8-t1-write,179.26
hdd,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-read,1.72
hdd,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-write,0.73
hdd,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-read,198.6
hdd,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-write,175.77
hdd,05-ext4+crypt,rnd-4k-q32-t16-read,1.86
hdd,05-ext4+crypt,rnd-4k-q32-t16-write,1.37
hdd,05-ext4+crypt,seq-1m-q8-t1-read,199.95
hdd,05-ext4+crypt,seq-1m-q8-t1-write,203.61
hdd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-read,1.89
hdd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-write,0.81
hdd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-read,198.21
hdd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-write,66.79
hdd,07-ext4+crypt+integrity,rnd-4k-q32-t16-read,1.72
hdd,07-ext4+crypt+integrity,rnd-4k-q32-t16-write,0.81
hdd,07-ext4+crypt+integrity,seq-1m-q8-t1-read,200.79
hdd,07-ext4+crypt+integrity,seq-1m-q8-t1-write,62.72
hdd,08-ext4+raid,rnd-4k-q32-t16-read,3.8
hdd,08-ext4+raid,rnd-4k-q32-t16-write,1.24
hdd,08-ext4+raid,seq-1m-q8-t1-read,217.85
hdd,08-ext4+raid,seq-1m-q8-t1-write,204.55
hdd,09-ext4+raid+integrity,rnd-4k-q32-t16-read,3.35
hdd,09-ext4+raid+integrity,rnd-4k-q32-t16-write,0.57
hdd,09-ext4+raid+integrity,seq-1m-q8-t1-read,216.09
hdd,09-ext4+raid+integrity,seq-1m-q8-t1-write,59.8
hdd,10-ext4+lvm,rnd-4k-q32-t16-read,1.87
hdd,10-ext4+lvm,rnd-4k-q32-t16-write,1.35
hdd,10-ext4+lvm,seq-1m-q8-t1-read,200.41
hdd,10-ext4+lvm,seq-1m-q8-t1-write,203.73
hdd,11-ext4+lvm+raid,rnd-4k-q32-t16-read,3.73
hdd,11-ext4+lvm+raid,rnd-4k-q32-t16-write,1.18
hdd,11-ext4+lvm+raid,seq-1m-q8-t1-read,219.17
hdd,11-ext4+lvm+raid,seq-1m-q8-t1-write,204.86
hdd,12-ext4+lvm+raid+integrity,rnd-4k-q32-t16-read,3.35
hdd,12-ext4+lvm+raid+integrity,rnd-4k-q32-t16-write,0.58
hdd,12-ext4+lvm+raid+integrity,seq-1m-q8-t1-read,217.42
hdd,12-ext4+lvm+raid+integrity,seq-1m-q8-t1-write,60.59
hdd,13-ext4+lvm+raid+integrity+crypt,rnd-4k-q32-t16-read,3.39
hdd,13-ext4+lvm+raid+integrity+crypt,rnd-4k-q32-t16-write,0.6
hdd,13-ext4+lvm+raid+integrity+crypt,seq-1m-q8-t1-read,218.16
hdd,13-ext4+lvm+raid+integrity+crypt,seq-1m-q8-t1-write,63.41
hdd,14-btrfs,rnd-4k-q32-t16-read,1.88
hdd,14-btrfs,rnd-4k-q32-t16-write,1.06
hdd,14-btrfs,seq-1m-q8-t1-read,206.92
hdd,14-btrfs,seq-1m-q8-t1-write,198.89
hdd,15-btrfs[raid1],rnd-4k-q32-t16-read,3.6
hdd,15-btrfs[raid1],rnd-4k-q32-t16-write,1.06
hdd,15-btrfs[raid1],seq-1m-q8-t1-read,223.18
hdd,15-btrfs[raid1],seq-1m-q8-t1-write,194
hdd,16-btrfs[raid1]+crypt,rnd-4k-q32-t16-read,3.68
hdd,16-btrfs[raid1]+crypt,rnd-4k-q32-t16-write,1.06
hdd,16-btrfs[raid1]+crypt,seq-1m-q8-t1-read,211.09
hdd,16-btrfs[raid1]+crypt,seq-1m-q8-t1-write,191.83
